"所属模块","用例标题","前置条件","步骤","预期","关键词","优先级","用例类型","适用阶段","","类型可选值列表","阶段可选值列表"
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","
功能测试
性能测试
配置相关
安装部署
安全相关
接口测试
其他","
单元测试阶段
功能测试阶段
集成测试阶段
系统测试阶段
冒烟测试阶段
版本验证阶段",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/(#0)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/厦门世贸版本(#676)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统(#682)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/首页(#684)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备组管理(#685)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/设备管理/设备列表(#703)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员列表(#686)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/人员管理/人员组管理(#687)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/通行记录(#688)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/系统设置(#689)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/Web管理系统/账户管理(#690)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/设备端(#683)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/APP端(#700)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
"/深圳南科大版本(#852)","","","1. 
2. 
3. num:10","1. 
2. 
3.","","","","","","","",""
